Size,Location,Number of Rooms,Price
2750,Suburban,1,70081
1219,Suburban,5,441028
2800,Suburban,2,776652
2763,Urban,9,576180
1306,Urban,5,515102
2356,Rural,5,211681
2871,Urban,2,56750
2074,Urban,8,641437
1092,Rural,2,777867
1214,Rural,6,729605
3377,Suburban,3,946685
1016,Urban,2,943411
4280,Urban,1,866903
4439,Rural,4,589109
2915,Urban,1,217197
1277,Urban,8,398719
4361,Urban,8,799598
4245,Urban,4,270389
3848,Urban,7,699454
4773,Urban,5,707139
2330,Rural,4,357201
2053,Urban,10,768809
2095,Urban,9,884150
4567,Rural,8,308139
2023,Suburban,4,896139
4256,Suburban,8,723180
966,Suburban,6,944030
1039,Urban,2,169289
2412,Rural,2,338204
2485,Suburban,3,990768
1836,Urban,4,685557
2764,Rural,8,229710
4412,Urban,7,932488
516,Rural,7,59845
1350,Rural,10,937636
3235,Suburban,4,156926
1076,Suburban,9,847260
2281,Rural,8,312012
1149,Suburban,1,643499
1510,Suburban,6,259155
2215,Rural,9,847539
4998,Urban,9,825504
4779,Urban,4,588877
3133,Urban,7,727858
4715,Urban,7,805348
3747,Urban,7,743347
2355,Urban,2,572660
3275,Suburban,5,182569
520,Suburban,6,56407
4557,Suburban,5,265055
1991,Urban,6,684594
1100,Rural,3,380050
3048,Rural,1,882931
1457,Urban,10,725263
2741,Urban,1,325773
4292,Urban,10,258375
4048,Rural,7,495814
2970,Rural,2,724806
940,Rural,10,758179
2926,Suburban,6,128436
1028,Urban,5,374127
4255,Urban,6,346925
2804,Rural,4,648285
4444,Rural,8,682573
2386,Suburban,3,902082
534,Urban,9,634858
2889,Suburban,1,155791
2362,Rural,1,194733
3116,Suburban,1,378530
1584,Rural,4,199878
3653,Rural,4,172309
1403,Rural,10,737071
2817,Urban,2,381863
4924,Rural,2,442501
3365,Rural,10,629777
3491,Urban,2,644241
2887,Rural,3,413280
4539,Rural,1,598335
1274,Suburban,3,980993
4980,Rural,9,986400
3652,Rural,5,337584
4344,Urban,4,697920
4569,Suburban,2,423786
3294,Rural,3,407633
1954,Suburban,5,274539
4961,Rural,5,81426
1033,Suburban,6,318213
551,Rural,1,877462
683,Rural,1,219290
1156,Urban,1,143599
3016,Rural,9,350473
913,Suburban,7,871136
2035,Suburban,8,529420
1674,Urban,2,256664
2427,Suburban,8,187261
2664,Rural,6,489251
2306,Suburban,2,425247
4961,Suburban,6,481278
2633,Urban,6,894870
953,Rural,2,119197
